"project_id","project","city","country","category","status","investment_eur","research_question","data_origin"
"DEMO-001","Fictional solar energy project 1","Valencia","Spain","Solar energy","Feasibility study","1500000","What local constraints could affect a hypothetical solar energy project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-002","Fictional water reuse project 2","Valencia","Spain","Water reuse","Proposed","3000000","What local constraints could affect a hypothetical water reuse project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-003","Fictional electric transit project 3","Valencia","Spain","Electric transit","Feasibility study","4500000","What local constraints could affect a hypothetical electric transit project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-004","Fictional flood protection project 4","Valencia","Spain","Flood protection","Proposed","6000000","What local constraints could affect a hypothetical flood protection project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-005","Fictional building retrofit project 5","Valencia","Spain","Building retrofit","Feasibility study","7500000","What local constraints could affect a hypothetical building retrofit project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-006","Fictional district heating project 6","Valencia","Spain","District heating","Proposed","9000000","What local constraints could affect a hypothetical district heating project in Valencia, Spain?","Synthetic teaching data; not evidence of a real project"
"DEMO-007","Fictional solar energy project 7","Porto","Portugal","Solar energy","Feasibility study","1600000","What local constraints could affect a hypothetical solar energy project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-008","Fictional water reuse project 8","Porto","Portugal","Water reuse","Proposed","3100000","What local constraints could affect a hypothetical water reuse project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-009","Fictional electric transit project 9","Porto","Portugal","Electric transit","Feasibility study","4600000","What local constraints could affect a hypothetical electric transit project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-010","Fictional flood protection project 10","Porto","Portugal","Flood protection","Proposed","6100000","What local constraints could affect a hypothetical flood protection project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-011","Fictional building retrofit project 11","Porto","Portugal","Building retrofit","Feasibility study","7600000","What local constraints could affect a hypothetical building retrofit project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-012","Fictional district heating project 12","Porto","Portugal","District heating","Proposed","9100000","What local constraints could affect a hypothetical district heating project in Porto, Portugal?","Synthetic teaching data; not evidence of a real project"
"DEMO-013","Fictional solar energy project 13","Lyon","France","Solar energy","Feasibility study","1700000","What local constraints could affect a hypothetical solar energy project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
"DEMO-014","Fictional water reuse project 14","Lyon","France","Water reuse","Proposed","3200000","What local constraints could affect a hypothetical water reuse project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
"DEMO-015","Fictional electric transit project 15","Lyon","France","Electric transit","Feasibility study","4700000","What local constraints could affect a hypothetical electric transit project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
"DEMO-016","Fictional flood protection project 16","Lyon","France","Flood protection","Proposed","6200000","What local constraints could affect a hypothetical flood protection project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
